	gene_id	gene_name	open_S0	open_S1	open_S2
416	ENSMUSG00000007050	Lsm2	0.0925	0.2	0.31
417	ENSMUSG00000034673	Pbx2	0.0575	0.1025	0.1625
418	ENSMUSG00000024050	Wiz	0.0	0.0475	0.15
419	ENSMUSG00000039615	Stub1	0.19	0.49	0.475
420	ENSMUSG00000034165	Ccnd3	0.1525	0.15	0.235
421	ENSMUSG00000024099	Ndufv2	0.04	0.1325	0.2725
422	ENSMUSG00000015478	Rnf5	0.2475	0.5515	0.599
423	ENSMUSG00000048027	Rgmb	0.0	0.19	0.249
424	ENSMUSG00000024165	Jpt2	0.205	0.2575	0.4375
425	ENSMUSG00000001576	Ergic1	0.0	0.0	0.0775
426	ENSMUSG00000004865	Srpk1	0.0665	0.114	0.2265
427	ENSMUSG00000033475	Tomm6	0.14	0.355	0.4
428	ENSMUSG00000024194	Cuta	0.095	0.24	0.45
429	ENSMUSG00000015575	Atp6v0e	0.17	0.1675	0.1825
430	ENSMUSG00000057411	Fam173a	0.045	0.2405	0.3405
431	ENSMUSG00000066878	Gm10184	0.0	0.0	0.0
432	ENSMUSG00000024045	Akap8	0.34	0.5125	0.6475
433	ENSMUSG00000002658	Gtf2f1	0.1825	0.355	0.415
434	ENSMUSG00000023967	Mrps18a	0.085	0.0875	0.1025
435	ENSMUSG00000002660	Clpp	0.12	0.29	0.4175
436	ENSMUSG00000023932	Cdc5l	0.13	0.315	0.47
437	ENSMUSG00000041319	Thoc6	0.1525	0.2025	0.27
438	ENSMUSG00000041057	Wdr43	0.095	0.0485	0.256
439	ENSMUSG00000067150	Xpo5	0.2025	0.2375	0.3925
440	ENSMUSG00000060475	Wtap	0.0	0.0	0.0
441	ENSMUSG00000024197	Plin3	0.045	0.0	0.05
442	ENSMUSG00000062078	Qk	0.0	0.0415	0.2115
443	ENSMUSG00000024422	Dhx16	0.0575	0.1375	0.2625
444	ENSMUSG00000002768	Mea1	0.1275	0.0	0.0
445	ENSMUSG00000024177	Nme4	0.23	0.1725	0.3375
446	ENSMUSG00000005936	Kctd20	0.0	0.055	0.05
447	ENSMUSG00000038545	Cul7	0.225	0.3875	0.3575
448	ENSMUSG00000025728	Pigq	0.0845	0.0	0.2125
449	ENSMUSG00000003200	Sh3gl1	0.1	0.17	0.2525
450	ENSMUSG00000024073	Birc6	0.305	0.415	0.595
451	ENSMUSG00000061950	Ppp4r1	0.04	0.055	0.07
452	ENSMUSG00000068036	Afdn	0.0255	0.103	0.1255
453	ENSMUSG00000040097	Flywch1	0.115	0.2025	0.325
454	ENSMUSG00000049760	Micos13	0.1025	0.28	0.4975
455	ENSMUSG00000002625	Akap8l	0.185	0.325	0.3525
456	ENSMUSG00000058392	Rrp1b	0.045	0.095	0.2825
457	ENSMUSG00000034377	Tulp4	0.0475	0.077	0.117
458	ENSMUSG00000024120	Lrpprc	0.21	0.285	0.39
459	ENSMUSG00000023883	Phf10	0.0	0.04	0.0
460	ENSMUSG00000041354	Rgl2	0.2175	0.4225	0.5375
461	ENSMUSG00000041130	Zfp598	0.0	0.085	0.155
462	ENSMUSG00000023939	Mrpl14	0.0	0.188	0.4605
463	ENSMUSG00000061046	Haghl	0.1175	0.145	0.29
464	ENSMUSG00000036552	Ermard	0.0	0.0	0.0
465	ENSMUSG00000062591	Tubb4a	0.155	0.1175	0.2875
466	ENSMUSG00000036315	Znrd1	0.18	0.1625	0.325
467	ENSMUSG00000096361	Gm5814	0.075	0.0	0.18
468	ENSMUSG00000057789	Bak1	0.2765	0.214	0.394
469	ENSMUSG00000045394	Epcam	0.0825	0.0475	0.055
470	ENSMUSG00000058704	Memo1	0.0	0.0	0.0375
471	ENSMUSG00000039656	Rxrb	0.1	0.19	0.5125
472	ENSMUSG00000023902	Zscan10	0.1075	0.0425	0.0
473	ENSMUSG00000039154	Shd	0.0775	0.23	0.2425
474	ENSMUSG00000080316	Spaca6	0.055	0.1375	0.2675
475	ENSMUSG00000039183	Nubp2	0.1925	0.3025	0.56
476	ENSMUSG00000044477	Zfand3	0.0375	0.12	0.2725
477	ENSMUSG00000023952	Gtpbp2	0.3	0.355	0.545
478	ENSMUSG00000073423	Zfp414	0.12	0.13	0.1825
479	ENSMUSG00000057388	Mrpl18	0.29	0.4325	0.5175
480	ENSMUSG00000053436	Mapk14	0.1075	0.3	0.3675
481	ENSMUSG00000000579	Dynlt1c	0.0	0.0	0.0
482	ENSMUSG00000056692	Ilrun	0.06	0.275	0.2575
483	ENSMUSG00000015461	Atf6b	0.251	0.335	0.3675
484	ENSMUSG00000023827	Agpat4	0.045	0.33	0.4905
485	ENSMUSG00000014773	Dll1	0.0	0.285	0.3275
486	ENSMUSG00000024429	Gnl1	0.215	0.3285	0.4435
487	ENSMUSG00000025733	Rhot2	0.21	0.175	0.2475
488	ENSMUSG00000039220	Ppp1r10	0.145	0.2175	0.38
489	ENSMUSG00000001524	Gtf2h4	0.0975	0.0925	0.1025
490	ENSMUSG00000024002	Brd4	0.1	0.0625	0.18
491	ENSMUSG00000040658	Dnph1	0.0975	0.2375	0.235
492	ENSMUSG00000024212	Mllt1	0.13	0.0525	0.1325
493	ENSMUSG00000024201	Kdm4b	0.22	0.245	0.2775
494	ENSMUSG00000023904	Hcfc1r1	0.1	0.155	0.235
495	ENSMUSG00000023830	Igf2r	0.0375	0.06	0.145
496	ENSMUSG00000002307	Daxx	0.1575	0.25	0.632
497	ENSMUSG00000059714	Flot1	0.059	0.1815	0.204
498	ENSMUSG00000032624	Eml4	0.05	0.0575	0.0775
499	ENSMUSG00000002496	Tsc2	0.175	0.1725	0.18
500	ENSMUSG00000024146	Cript	0.1525	0.3325	0.454
501	ENSMUSG00000012296	Tjap1	0.12	0.14	0.205
502	ENSMUSG00000025736	Jmjd8	0.193	0.352	0.447
503	ENSMUSG00000016946	Kctd5	0.1175	0.2025	0.23
504	ENSMUSG00000040688	Tbl3	0.0975	0.14	0.14
505	ENSMUSG00000052105	Mtcl1	0.135	0.1475	0.275
506	ENSMUSG00000002835	Chaf1a	0.1	0.055	0.2025
507	ENSMUSG00000019579	Mydgf	0.135	0.1625	0.2425
508	ENSMUSG00000079471	Mymx	0.365	0.1875	0.2425
509	ENSMUSG00000071074	Yipf3	0.2125	0.2275	0.5625
510	ENSMUSG00000061607	Mdc1	0.19	0.34	0.43
511	ENSMUSG00000061232	H2-K1	0.14	0.2075	0.4925
512	ENSMUSG00000034729	Mrps10	0.0975	0.2275	0.26
513	ENSMUSG00000040356	Skiv2l	0.0	0.0	0.3125
514	ENSMUSG00000040771	Oard1	0.0625	0.2225	0.4575
515	ENSMUSG00000024095	Hnrnpll	0.0425	0.0815	0.179
516	ENSMUSG00000024127	Prepl	0.1975	0.373	0.4105
517	ENSMUSG00000038838	Vars2	0.1575	0.255	0.615
518	ENSMUSG00000007603	Dus3l	0.095	0.3375	0.4995
519	ENSMUSG00000024081	Cebpz	0.045	0.21	0.3575
520	ENSMUSG00000035521	Gnptg	0.085	0.2125	0.2975
521	ENSMUSG00000024083	Pja2	0.0	0.1325	0.145
522	ENSMUSG00000001229	Dpp9	0.1075	0.1575	0.2
523	ENSMUSG00000024098	Twsg1	0.14	0.18	0.235
524	ENSMUSG00000024312	Wdr46	0.2175	0.4425	0.524
525	ENSMUSG00000024222	Fkbp5	0.09	0.26	0.3025
526	ENSMUSG00000055817	Mta3	0.18	0.1225	0.3425
527	ENSMUSG00000024319	Vps52	0.4375	0.5	0.57
528	ENSMUSG00000024054	Smchd1	0.1525	0.255	0.32
529	ENSMUSG00000024191	Bnip1	0.0425	0.2325	0.385
530	ENSMUSG00000024063	Lbh	0.055	0.2225	0.531
531	ENSMUSG00000023973	Cnpy3	0.1525	0.25	0.3625
532	ENSMUSG00000023977	Ubr2	0.27	0.33	0.405
533	ENSMUSG00000040482	Dxo	0.2355	0.31	0.7205
534	ENSMUSG00000056515	Rab31	0.0575	0.165	0.34
535	ENSMUSG00000024096	Ralbp1	0.105	0.0475	0.1725
536	ENSMUSG00000037089	Slc35b2	0.1305	0.253	0.2655
537	ENSMUSG00000023852	Chd1	0.115	0.1475	0.247
538	ENSMUSG00000024436	Mrps18b	0.145	0.2175	0.38
539	ENSMUSG00000019578	Ubxn6	0.06	0.14	0.145
540	ENSMUSG00000024068	Spast	0.0	0.0525	0.1725
541	ENSMUSG00000042099	Kank3	0.3305	0.235	0.3225
542	ENSMUSG00000024014	Pim1	0.105	0.1425	0.33
543	ENSMUSG00000024220	Zfp523	0.0	0.1275	0.1825
544	ENSMUSG00000044857	Lemd2	0.0	0.0	0.1175
545	ENSMUSG00000023971	Rrp36	0.1075	0.4675	0.455
546	ENSMUSG00000017831	Rab5a	0.25	0.34	0.4775
547	ENSMUSG00000024218	Taf11	0.0815	0.1715	0.179
548	ENSMUSG00000061062	Hdac1-ps	0.0	0.0	0.0
549	ENSMUSG00000024130	Abca3	0.1	0.27	0.52
550	ENSMUSG00000043445	Pgp	0.3425	0.265	0.467
551	ENSMUSG00000046201	Scaf8	0.0	0.1025	0.2175
552	ENSMUSG00000038146	Notch3	0.0	0.0	0.1425
553	ENSMUSG00000024150	Mcfd2	0.0425	0.185	0.335
554	ENSMUSG00000091742	Gm5093	0.0	0.0	0.0
555	ENSMUSG00000024301	Kifc5b	0.0425	0.0	0.0975
556	ENSMUSG00000024457	Trim26	0.2325	0.17	0.2875
557	ENSMUSG00000037098	Rab11fip3	0.2275	0.131	0.3735
558	ENSMUSG00000024182	Axin1	0.0825	0.1275	0.1575
559	ENSMUSG00000007038	Neu1	0.15	0.3375	0.35
560	ENSMUSG00000073411	H2-D1	0.045	0.185	0.2335
561	ENSMUSG00000011589	Fsd1	0.06	0.0475	0.1175
562	ENSMUSG00000046329	Slc25a23	0.1525	0.2875	0.4025
563	ENSMUSG00000034345	Gtf2h5	0.055	0.2225	0.295
564	ENSMUSG00000015474	Ppt2	0.095	0.285	0.39
565	ENSMUSG00000023906	Cldn6	0.0	0.065	0.1175
566	ENSMUSG00000038880	Mrps34	0.195	0.2425	0.4215
567	ENSMUSG00000007036	Abhd16a	0.0625	0.085	0.1425
568	ENSMUSG00000034595	Ppp1r18	0.2025	0.125	0.385
569	ENSMUSG00000023994	Nfya	0.0625	0.2225	0.4545
570	ENSMUSG00000014426	Map3k4	0.0	0.12	0.15
571	ENSMUSG00000015126	Tsr3	0.085	0.2125	0.2975
572	ENSMUSG00000024132	Eci1	0.22	0.265	0.37
573	ENSMUSG00000036398	Ppp1r11	0.1075	0.2225	0.185
574	ENSMUSG00000069135	Fgfr1op	0.0	0.045	0.0425
575	ENSMUSG00000024070	Prkd3	0.0	0.0	0.19
576	ENSMUSG00000025731	Mettl26	0.2625	0.375	0.525
577	ENSMUSG00000006818	Sod2	0.11	0.1075	0.1675
578	ENSMUSG00000067629	Syngap1	0.0	0.0	0.0475
579	ENSMUSG00000005371	Fbxo11	0.0	0.0	0.1725
580	ENSMUSG00000040888	Gfer	0.04	0.045	0.095
581	ENSMUSG00000061207	Stk19	0.2225	0.31	0.684
582	ENSMUSG00000024158	Hagh	0.0	0.0	0.0
583	ENSMUSG00000073468	Sft2d1	0.1775	0.195	0.1475
584	ENSMUSG00000024037	Wdr4	0.045	0.1775	0.2375
585	ENSMUSG00000023809	Rps6ka2	0.15	0.335	0.515
586	ENSMUSG00000059811	Atl2	0.0475	0.055	0.172
587	ENSMUSG00000075705	Msrb1	0.185	0.305	0.3225
588	ENSMUSG00000019487	Trip10	0.189	0.369	0.524
589	ENSMUSG00000003546	Klc4	0.24	0.3025	0.475
590	ENSMUSG00000024019	Cmtr1	0.12	0.0	0.2475
591	ENSMUSG00000055760	Gemin6	0.15	0.19	0.2775
592	ENSMUSG00000024299	Adamts10	0.123	0.088	0.1855
593	ENSMUSG00000019214	Chtf18	0.2925	0.275	0.365
594	ENSMUSG00000024446	Rpp21	0.23	0.22	0.305
595	ENSMUSG00000002017	Fam98a	0.1025	0.205	0.3675
596	ENSMUSG00000024242	Map4k3	0.161	0.1785	0.361
597	ENSMUSG00000007570	Fance	0.1175	0.1375	0.2325
598	ENSMUSG00000079557	Marchf2	0.045	0.095	0.105
599	ENSMUSG00000024042	Sik1	0.11	0.1825	0.4425
600	ENSMUSG00000051390	Zbtb22	0.2875	0.13	0.248
601	ENSMUSG00000077450	Rab11b	0.275	0.2375	0.3975
602	ENSMUSG00000062480	Acat3	0.0	0.1025	0.0375
603	ENSMUSG00000002379	Ndufa11	0.2175	0.325	0.44
604	ENSMUSG00000023938	Aars2	0.09	0.0675	0.22
605	ENSMUSG00000062012	Zfp13	0.1375	0.11	0.2175
606	ENSMUSG00000024122	Pdpk1	0.0	0.0	0.0
607	ENSMUSG00000090083	Rnf8	0.09	0.1425	0.22
608	ENSMUSG00000024137	E4f1	0.3305	0.2355	0.428
609	ENSMUSG00000059791	Nrm	0.0425	0.08	0.1175
610	ENSMUSG00000024325	Ring1	0.0475	0.1875	0.2275
611	ENSMUSG00000025737	Wdr24	0.0725	0.1425	0.21
612	ENSMUSG00000024044	Epb41l3	0.0975	0.28	0.33
613	ENSMUSG00000024170	Telo2	0.145	0.22	0.3025
614	ENSMUSG00000092417	Gpank1	0.39	0.3725	0.585
615	ENSMUSG00000024140	Epas1	0.3275	0.3325	0.405
616	ENSMUSG00000023988	Bysl	0.1975	0.2625	0.27
617	ENSMUSG00000036473	Tbc1d24	0.0775	0.345	0.465
618	ENSMUSG00000024056	Ndc80	0.1175	0.3	0.3475
619	ENSMUSG00000025738	Fbxl16	0.06	0.13	0.2575
620	ENSMUSG00000023460	Rab12	0.15	0.175	0.4075
621	ENSMUSG00000023915	Tnfrsf21	0.076	0.201	0.261
622	ENSMUSG00000002661	Alkbh7	0.2125	0.245	0.265
623	ENSMUSG00000036636	Clcn7	0.14	0.145	0.245
624	ENSMUSG00000063952	Brpf3	0.0	0.096	0.1135
625	ENSMUSG00000023980	Taf8	0.1775	0.3025	0.2475
626	ENSMUSG00000023905	Tnfrsf12a	0.14	0.15	0.2725
627	ENSMUSG00000024219	Anks1	0.11	0.2	0.2
628	ENSMUSG00000032717	Mdfi	0.0425	0.243	0.348
629	ENSMUSG00000034709	Ppp1r21	0.0425	0.155	0.1775
630	ENSMUSG00000015605	Srf	0.0775	0.265	0.2875
631	ENSMUSG00000039512	Uhrf1bp1	0.0	0.295	0.429
632	ENSMUSG00000025730	Rab40c	0.3025	0.4525	0.515
633	ENSMUSG00000024298	Zfp871	0.105	0.105	0.23
634	ENSMUSG00000024247	Pkdcc	0.04	0.0825	0.273
635	ENSMUSG00000002763	Pex6	0.15	0.1875	0.265
636	ENSMUSG00000024169	Ift140	0.18	0.455	0.7535
637	ENSMUSG00000061665	Cd2ap	0.0625	0.0475	0.065
638	ENSMUSG00000035051	Dhx57	0.2075	0.3075	0.4275
639	ENSMUSG00000090115	Usp49	0.0	0.0	0.0375
640	ENSMUSG00000055202	Zfp811	0.135	0.21	0.34
641	ENSMUSG00000073434	Wdr90	0.0	0.13	0.205
642	ENSMUSG00000015597	Zfp318	0.0725	0.2215	0.2215
643	ENSMUSG00000023927	Satb1	0.0	0.0775	0.071
644	ENSMUSG00000023911	Flywch2	0.0	0.17	0.3075
645	ENSMUSG00000002280	Ciao3	0.1375	0.12	0.19
646	ENSMUSG00000061130	Ppm1b	0.169	0.2515	0.2815
647	ENSMUSG00000041429	Nthl1	0.175	0.1725	0.18
648	ENSMUSG00000036820	Amdhd2	0.1645	0.0975	0.4225
649	ENSMUSG00000042203	Tbc1d22b	0.055	0.12	0.095
650	ENSMUSG00000023912	Slc25a27	0.0375	0.1575	0.3925
651	ENSMUSG00000024135	Srbd1	0.0	0.1075	0.4015
652	ENSMUSG00000023861	Mpc1	0.0625	0.2055	0.3005
653	ENSMUSG00000069729	Arid1b	0.0	0.05	0.1825
654	ENSMUSG00000024078	Ttc27	0.13	0.26	0.2275
655	ENSMUSG00000040312	Cchcr1	0.29	0.35	0.4
656	ENSMUSG00000052712	BC004004	0.0	0.095	0.12
657	ENSMUSG00000024052	Lpin2	0.08	0.2525	0.22
658	ENSMUSG00000002308	Cd320	0.235	0.2675	0.335
659	ENSMUSG00000038002	Cramp1l	0.1305	0.398	0.638
660	ENSMUSG00000050088	1600012H06Rik	0.25	0.3525	0.405
661	ENSMUSG00000002249	Tead3	0.11	0.2225	0.3425
662	ENSMUSG00000024101	Washc1	0.045	0.105	0.165
663	ENSMUSG00000005823	Gpr108	0.2675	0.37	0.55
664	ENSMUSG00000024118	Tedc2	0.34	0.29	0.2375
665	ENSMUSG00000023908	Pkmyt1	0.06	0.225	0.35
666	ENSMUSG00000045409	Trim39	0.06	0.08	0.0975
667	ENSMUSG00000002279	Lmf1	0.255	0.2775	0.41
668	ENSMUSG00000001870	Ltbp1	0.1125	0.3625	0.4625
669	ENSMUSG00000056121	Fez2	0.045	0.055	0.275
670	ENSMUSG00000038500	Prr3	0.238	0.288	0.363
671	ENSMUSG00000042644	Itpr3	0.165	0.1695	0.2155
672	ENSMUSG00000050705	2310061I04Rik	0.1675	0.07	0.1775
673	ENSMUSG00000037326	Capn15	0.1975	0.2875	0.3225
674	ENSMUSG00000023921	Mmut	0.0475	0.1375	0.2775
675	ENSMUSG00000006705	Pknox1	0.0525	0.135	0.28
676	ENSMUSG00000014767	Tbp	0.1	0.1775	0.2775
677	ENSMUSG00000032855	Pkd1	0.0925	0.1575	0.34
678	ENSMUSG00000024074	Crim1	0.07	0.1375	0.39
679	ENSMUSG00000039601	Rcan2	0.1515	0.169	0.2215
680	ENSMUSG00000094724	Rnaset2b	0.0	0.0	0.0
681	ENSMUSG00000024190	Dusp1	0.0	0.0	0.0775
682	ENSMUSG00000003541	Ier3	0.225	0.4075	0.4775
683	ENSMUSG00000073422	H2-Ke6	0.135	0.285	0.4585
684	ENSMUSG00000024142	Mlst8	0.2025	0.275	0.2825
685	ENSMUSG00000038141	Tmem181a	0.0	0.0	0.0
686	ENSMUSG00000048440	Cyp4f16	0.15	0.085	0.155
687	ENSMUSG00000000708	Kat2b	0.045	0.04	0.1665
688	ENSMUSG00000062691	Cebpzos	0.1	0.135	0.215
689	ENSMUSG00000024308	Tapbp	0.2875	0.13	0.2475
690	ENSMUSG00000024143	Rhoq	0.0	0.11	0.225
691	ENSMUSG00000023940	Sgo1	0.185	0.195	0.335
692	ENSMUSG00000024187	Fam234a	0.13	0.3775	0.3775
693	ENSMUSG00000054723	Vmac	0.2175	0.325	0.385
694	ENSMUSG00000003208	Yju2	0.115	0.1675	0.1225
695	ENSMUSG00000024112	Cacna1h	0.045	0.0475	0.152
696	ENSMUSG00000035842	Ddx11	0.1225	0.24	0.3
697	ENSMUSG00000057841	Rpl32	0.07	0.245	0.28
698	ENSMUSG00000057666	Gapdh	0.575	0.7875	0.74
699	ENSMUSG00000079523	Tmsb10	0.1475	0.275	0.3575
700	ENSMUSG00000004980	Hnrnpa2b1	0.272	0.602	0.7645
701	ENSMUSG00000036371	Serbp1	0.04	0.055	0.0475
702	ENSMUSG00000030007	Cct7	0.455	0.66	0.785
703	ENSMUSG00000030057	Cnbp	0.195	0.2825	0.325
704	ENSMUSG00000023456	Tpi1	0.2475	0.334	0.6225
705	ENSMUSG00000051695	Pcbp1	0.2735	0.576	0.735
706	ENSMUSG00000030357	Fkbp4	0.298	0.263	0.383
707	ENSMUSG00000051855	Mest	0.0	0.045	0.0375
708	ENSMUSG00000092035	Peg10	0.0925	0.331	0.3125
709	ENSMUSG00000003153	Slc2a3	0.3075	0.36	0.47
710	ENSMUSG00000063870	Chd4	0.0	0.226	0.2735
711	ENSMUSG00000029777	Gars	0.0475	0.174	0.2965
712	ENSMUSG00000030120	Mlf2	0.271	0.4085	0.4725
713	ENSMUSG00000029922	Mkrn1	0.2425	0.2775	0.285
714	ENSMUSG00000030189	Ybx3	0.0675	0.2675	0.3685
715	ENSMUSG00000029632	Ndufa4	0.0	0.113	0.25
716	ENSMUSG00000002870	Mcm2	0.185	0.2675	0.275
717	ENSMUSG00000030246	Ldhb	0.1725	0.385	0.5275
718	ENSMUSG00000038252	Ncapd2	0.29	0.454	0.4665
719	ENSMUSG00000029752	Asns	0.15	0.2075	0.357
720	ENSMUSG00000004264	Phb2	0.4375	0.5625	0.6125
721	ENSMUSG00000042079	Hnrnpf	0.095	0.0	0.0
722	ENSMUSG00000030122	Ptms	0.1925	0.24	0.265
723	ENSMUSG00000030082	Sec61a1	0.2225	0.4435	0.385
724	ENSMUSG00000004268	Emg1	0.41	0.5475	0.5775
725	ENSMUSG00000001424	Snd1	0.0	0.0	0.0
726	ENSMUSG00000030342	Cd9	0.275	0.4685	0.3985
727	ENSMUSG00000005892	Trh	0.09	0.22	0.2525
728	ENSMUSG00000040669	Phc1	0.2225	0.1125	0.285
729	ENSMUSG00000038429	Usp5	0.578	0.7075	0.7125
730	ENSMUSG00000000184	Ccnd2	0.075	0.41	0.41
731	ENSMUSG00000030298	Sec13	0.0375	0.2275	0.27
732	ENSMUSG00000029767	Calu	0.2475	0.435	0.45
733	ENSMUSG00000063415	Cyp26b1	0.0	0.1275	0.2675
734	ENSMUSG00000053907	Mat2a	0.22	0.5575	0.53
735	ENSMUSG00000034269	Setd5	0.1145	0.1375	0.305
736	ENSMUSG00000020440	Arf5	0.0625	0.268	0.22
737	ENSMUSG00000052337	Immt	0.19	0.3775	0.3375
738	ENSMUSG00000071337	Tia1	0.1675	0.25	0.31
739	ENSMUSG00000030224	Strap	0.0	0.1175	0.1675
740	ENSMUSG00000001642	Akr1b3	0.145	0.2825	0.3375
741	ENSMUSG00000030062	Rpn1	0.055	0.1175	0.285
742	ENSMUSG00000029817	Tra2a	0.2525	0.42	0.46
743	ENSMUSG00000029823	Luc7l2	0.1675	0.37	0.4825
744	ENSMUSG00000052738	Suclg1	0.155	0.3575	0.4425
745	ENSMUSG00000031865	Dctn1	0.0	0.0375	0.1575
746	ENSMUSG00000079477	Rab7	0.1725	0.35	0.3575
747	ENSMUSG00000019210	Atp6v1e1	0.1525	0.27	0.27
748	ENSMUSG00000034192	Lsm3	0.2025	0.34	0.32
749	ENSMUSG00000038279	Nop2	0.29	0.505	0.495
750	ENSMUSG00000030058	Copg1	0.4	0.4175	0.4275
751	ENSMUSG00000004285	Atp6v1f	0.2675	0.305	0.345
752	ENSMUSG00000000441	Raf1	0.3	0.5515	0.5015
753	ENSMUSG00000057278	Snrpg	0.1675	0.4025	0.4875
754	ENSMUSG00000053768	Chchd3	0.3375	0.4475	0.44
755	ENSMUSG00000012535	Tnpo3	0.37	0.625	0.5775
756	ENSMUSG00000072772	Grcc10	0.3545	0.687	0.7145
757	ENSMUSG00000030127	Cops7a	0.2	0.2575	0.235
758	ENSMUSG00000025823	Pdia4	0.1825	0.425	0.4825
759	ENSMUSG00000000628	Hk2	0.4275	0.6	0.7825
760	ENSMUSG00000033940	Brk1	0.2725	0.47	0.4825
761	ENSMUSG00000029836	Cbx3	0.2275	0.5625	0.6825
762	ENSMUSG00000079426	Arpc4	0.38	0.6275	0.73
763	ENSMUSG00000044927	H1f10	0.2925	0.33	0.337
764	ENSMUSG00000023505	Cdca3	0.609	0.724	0.719
765	ENSMUSG00000030035	Wbp1	0.305	0.535	0.5025
766	ENSMUSG00000029686	Cul1	0.13	0.1875	0.17
767	ENSMUSG00000039985	Sinhcaf	0.1075	0.1875	0.195
768	ENSMUSG00000038253	Hoxa5	0.195	0.592	0.7295
769	ENSMUSG00000030079	Ruvbl1	0.095	0.2	0.22
770	ENSMUSG00000042541	Sem1	0.09	0.16	0.21
771	ENSMUSG00000030126	Tmcc1	0.055	0.28	0.1525
772	ENSMUSG00000030216	Wbp11	0.2575	0.4425	0.4825
773	ENSMUSG00000029687	Ezh2	0.315	0.3325	0.3575
774	ENSMUSG00000045962	Wnk1	0.165	0.4255	0.4555
775	ENSMUSG00000068328	Aup1	0.541	0.7815	0.865
776	ENSMUSG00000024104	Washc2	0.1325	0.35	0.4725
777	ENSMUSG00000029781	Fkbp9	0.08	0.0	0.115
778	ENSMUSG00000038759	Nup205	0.17	0.3225	0.25
779	ENSMUSG00000030096	Slc6a6	0.242	0.297	0.2575
780	ENSMUSG00000000399	Ndufa9	0.1585	0.371	0.2975
781	ENSMUSG00000005667	Mthfd2	0.13	0.315	0.32
782	ENSMUSG00000030061	Uba3	0.115	0.273	0.34
783	ENSMUSG00000030084	Plxna1	0.1815	0.285	0.3665
784	ENSMUSG00000029814	Igf2bp3	0.062	0.3195	0.3795
785	ENSMUSG00000030268	Bcat1	0.2795	0.332	0.4695
786	ENSMUSG00000030257	Srgap3	0.1675	0.2385	0.3435
787	ENSMUSG00000056305	Usp39	0.125	0.2975	0.2125
788	ENSMUSG00000015733	Capza2	0.0	0.0	0.0475
789	ENSMUSG00000033706	Smyd5	0.1575	0.3075	0.33
790	ENSMUSG00000055850	Rnf181	0.0	0.0	0.0
791	ENSMUSG00000029833	Trim24	0.1575	0.3475	0.46
792	ENSMUSG00000029911	Ssbp1	0.0925	0.165	0.1825
793	ENSMUSG00000030060	Hmces	0.425	0.3975	0.335
794	ENSMUSG00000033152	Podxl2	0.227	0.2725	0.39
795	ENSMUSG00000012483	Rpa3	0.28	0.55	0.525
796	ENSMUSG00000001158	Snrnp27	0.205	0.22	0.27
797	ENSMUSG00000036667	Tcaf1	0.0	0.225	0.3275
798	ENSMUSG00000004535	Tax1bp1	0.1575	0.2625	0.3325
799	ENSMUSG00000007458	M6pr	0.28	0.345	0.403
800	ENSMUSG00000030275	Etnk1	0.1975	0.4525	0.43
801	ENSMUSG00000034203	Chchd4	0.4475	0.646	0.7225
802	ENSMUSG00000002416	Ndufb2	0.4975	0.4075	0.4025
803	ENSMUSG00000029763	Exoc4	0.2325	0.3125	0.3425
804	ENSMUSG00000044155	Lsm8	0.2125	0.27	0.3875
805	ENSMUSG00000030138	Bms1	0.21	0.3275	0.3275
806	ENSMUSG00000053470	Kdm3a	0.1475	0.4525	0.5365
807	ENSMUSG00000030330	Ing4	0.0475	0.2725	0.3125
808	ENSMUSG00000012396	Nanog	0.2325	0.2075	0.1475
809	ENSMUSG00000030282	Cmas	0.1475	0.1725	0.16
810	ENSMUSG00000043219	Hoxa6	0.315	0.51	0.5075
811	ENSMUSG00000030279	C2cd5	0.2275	0.27	0.5125
812	ENSMUSG00000005069	Pex5	0.385	0.682	0.6995
813	ENSMUSG00000057497	Fam136a	0.154	0.29	0.409
814	ENSMUSG00000063884	Ptcd3	0.2275	0.3325	0.3575
815	ENSMUSG00000029840	Mtpn	0.2875	0.4025	0.4625
816	ENSMUSG00000039130	Zc3hc1	0.0675	0.1675	0.145
817	ENSMUSG00000049553	Polr1a	0.2275	0.285	0.3575
818	ENSMUSG00000030304	Ergic2	0.2275	0.4675	0.485
819	ENSMUSG00000025607	Copg2	0.0	0.1	0.14
820	ENSMUSG00000029701	Rbm28	0.125	0.2825	0.2165
821	ENSMUSG00000035199	Arl6ip5	0.1925	0.32	0.4
822	ENSMUSG00000001761	Smo	0.0475	0.132	0.377
823	ENSMUSG00000029993	Nfu1	0.165	0.246	0.2735
824	ENSMUSG00000036390	Gadd45a	0.41	0.4125	0.6175
825	ENSMUSG00000001517	Foxm1	0.1025	0.38	0.4325
826	ENSMUSG00000029920	Smarcad1	0.2175	0.2575	0.2825
827	ENSMUSG00000030204	Ddx47	0.1075	0.205	0.2575
828	ENSMUSG00000030016	Zfp638	0.1875	0.34	0.3075
829	ENSMUSG00000048668	Rhno1	0.1025	0.38	0.4325
830	ENSMUSG00000030225	Dera	0.105	0.1575	0.18
831	ENSMUSG00000025608	Podxl	0.0	0.235	0.375
832	ENSMUSG00000029998	Pcyox1	0.215	0.3775	0.5275
833	ENSMUSG00000059182	Skap2	0.3	0.5275	0.41
